pwr_out,irdnc,temp,prsure,hmdty,wnd_spd,wnd_deg,rain_1h,clouds
7.78,750.81,9.5,1025,81,2,305,0.0,1
2.58,239.98,12.37,1025,76,1,10,0.0,1
1.02,113.36,15.62,1025,63,2,305,0.0,1
0.69,98.62,18.25,1025,52,2,0,0.0,1
0.0,0.0,19.99,1024,40,6,290,0.0,1
0.0,0.0,21.57,1022,37,4,280,0.0,1
0.0,0.0,21.58,1022,40,5,300,0.0,75
0.0,0.0,19.74,1022,45,6,310,0.0,75
0.0,0.0,16.99,1023,52,7,280,0.0,20
0.0,0.0,11.7,1024,58,7,310,0.0,90
0.0,0.0,10.62,1025,66,5,300,0.0,1
0.0,0.0,8.28,1025,81,5,290,0.0,20
0.0,0.0,7.13,1026,61,6,320,0.0,40
0.0,0.0,5.42,1027,60,6,340,0.0,40
0.0,0.0,4.14,1027,51,4,320,0.0,1
0.0,0.0,3.0,1027,47,5,330,0.0,1
0.67,142.33,0.83,1027,63,5,335,0.0,0
2.42,389.76,0.57,1027,47,5,330,0.0,1
4.68,602.07,-0.83,1027,54,3,340,0.0,1
8.55,762.69,-1.57,1028,54,3,340,0.0,1
8.88,858.44,-1.71,1028,58,2,320,0.0,1
8.89,870.66,-2.26,1029,68,5,300,0.0,5
8.5,804.22,-1.74,1029,58,4,310,0.0,1
6.98,663.67,0.13,1029,64,4,340,0.0,1
4.31,448.32,2.63,1030,51,4,340,0.0,1
1.03,199.64,5.02,1030,44,3,360,0.0,1
0.0,0.0,7.0,1029,36,3,320,0.0,1
0.0,0.0,10.0,1027,23,4,10,0.0,1
0.0,0.0,10.99,1026,23,4,30,0.0,1
0.0,0.0,11.14,1026,23,3,20,0.0,1
0.0,0.0,10.42,1026,34,3,40,0.0,1
0.0,0.0,6.87,1027,45,3,50,0.0,1
0.0,0.0,6.14,1028,56,3,50,0.0,1
0.0,0.0,5.51,1028,60,2,50,0.0,1
0.0,0.0,4.45,1028,64,2,50,0.0,1
0.0,0.0,4.16,1029,69,2,355,0.0,1
0.0,0.0,3.58,1028,69,2,355,0.0,1
0.0,0.0,3.84,1028,82,2,355,0.0,1
0.86,119.95,3.5,1027,80,2,320,0.0,1
3.24,256.99,3.0,1027,69,1,330,0.0,1
5.3,512.28,3.14,1027,65,1,330,0.0,1
8.66,799.71,3.0,1027,64,2,330,0.0,1
8.8,825.52,3.43,1027,56,2,360,0.0,1
6.28,605.48,4.13,1027,52,3,360,0.0,1
4.22,418.76,5.14,1027,48,1,0,0.0,1
6.54,642.6,7.71,1028,42,3,10,0.0,1
4.15,429.92,11.16,1028,34,2,50,0.0,1
0.95,169.34,13.01,1028,35,2,70,0.0,1
0.0,0.0,13.99,1027,41,2,340,0.0,1
0.0,0.0,16.56,1025,36,1,27,0.0,1
0.0,0.0,17.13,1025,36,1,300,0.0,1
0.0,0.0,17.71,1024,36,1,27,0.0,1
0.0,0.0,17.66,1024,36,2,220,0.0,1
0.0,0.0,12.72,1024,41,1,30,0.0,1
0.0,0.0,11.41,1025,62,1,20,0.0,1
0.0,0.0,9.85,1025,71,1,40,0.0,1
0.0,0.0,9.41,1025,76,1,50,0.0,1
0.0,0.0,8.56,1026,87,1,46,0.0,1
0.0,0.0,7.7,1026,81,1,46,0.0,1
0.0,0.0,7.43,1025,93,1,46,0.0,1
0.32,40.27,7.57,1025,87,1,37,0.0,1
1.53,151.9,7.13,1024,93,1,37,0.0,1
6.21,568.38,7.56,1025,93,1,37,0.0,1
8.41,759.64,7.82,1025,87,1,29,0.0,1
8.09,784.97,8.14,1024,93,1,29,0.0,1
5.51,510.34,8.43,1025,87,1,29,0.0,1
2.71,248.66,8.51,1025,87,1,22,0.0,1
2.37,216.99,11.12,1026,76,1,22,0.0,1
2.04,180.01,15.86,1026,55,1,22,0.0,1
0.26,29.33,18.42,1027,52,2,360,0.0,1
0.0,0.0,19.25,1026,49,1,17,0.0,1
0.0,0.0,20.13,1024,49,2,200,0.0,1
0.0,0.0,19.6,1023,49,2,220,0.0,1
0.0,0.0,20.4,1023,49,1,180,0.0,40
0.0,0.0,18.85,1024,49,2,50,0.0,75
0.0,0.0,16.12,1025,67,3,100,0.0,1
0.0,0.0,15.62,1025,67,2,60,0.0,1
0.0,0.0,15.42,1025,63,1,40,0.0,1
0.0,0.0,14.58,1025,67,3,50,0.0,1
0.0,0.0,14.29,1025,67,1,51,0.0,1
0.0,0.0,14.0,1024,71,1,40,0.0,1
0.0,0.0,13.99,1024,67,1,51,0.0,1
0.75,125.92,13.85,1024,76,1,10,0.0,20
1.45,183.69,13.85,1023,71,1,10,0.0,1
2.45,224.75,13.57,1023,76,1,310,0.0,1
7.22,716.32,13.28,1023,76,2,50,0.0,1
6.99,353.1,13.56,1024,72,1,360,0.0,1
8.93,971.29,13.57,1024,76,2,20,0.0,20
7.19,726.35,14.0,1024,72,2,30,0.0,1
4.84,316.21,16.86,1024,63,4,60,0.0,1
3.56,420.08,18.86,1025,60,3,70,0.0,1
0.93,181.88,21.0,1024,60,5,70,0.0,1
0.0,0.0,23.0,1023,60,4,120,0.0,75
0.0,0.0,24.13,1022,53,5,130,0.0,40
0.0,0.0,24.25,1022,53,5,110,0.0,40
0.0,0.0,24.36,1021,47,5,110,0.0,1
0.0,0.0,23.43,1021,53,4,130,0.0,1
0.0,0.0,18.99,1022,72,3,90,0.0,1
0.0,0.0,17.62,1022,82,3,70,0.0,1
0.0,0.0,16.63,1022,82,2,60,0.0,1
0.0,0.0,15.71,1022,87,2,50,0.0,1
0.0,0.0,15.56,1022,88,2,70,0.0,40
0.0,0.0,15.3,1021,100,2,116,0.0,1
0.0,0.0,14.56,1021,100,2,116,0.0,20
0.69,107.78,14.42,1021,93,1,109,0.0,40
3.37,354.91,14.11,1020,93,1,80,0.0,20
5.86,558.34,13.85,1020,93,1,109,0.0,90
5.86,558.34,13.85,1020,93,1,109,0.0,90
6.92,820.68,13.56,1020,100,3,123,0.0,20
6.92,820.68,13.56,1020,100,3,123,0.0,20
2.99,312.47,13.29,1020,100,1,90,0.0,75
2.99,312.47,13.29,1020,100,1,90,0.0,75
7.0,460.68,13.3,1021,100,2,80,0.0,1
7.0,460.68,13.3,1021,100,2,80,0.0,1
3.43,554.49,15.26,1021,100,2,135,0.0,40
2.95,294.66,18.01,1021,100,3,120,0.0,1
1.99,241.72,21.99,1021,73,6,130,0.0,1
0.85,95.05,24.49,1021,65,5,130,0.0,75
0.0,0.0,25.24,1020,61,4,160,0.0,75
0.0,0.0,26.24,1018,51,4,150,0.0,40
0.0,0.0,26.11,1017,51,3,130,0.0,75
0.0,0.0,26.42,1017,51,5,150,0.0,40
0.0,0.0,24.87,1017,65,5,110,0.0,75
0.0,0.0,22.38,1018,73,5,120,0.0,75
0.0,0.0,21.57,1018,78,5,140,0.0,20
0.0,0.0,21.38,1018,83,4,130,0.3,1
0.0,0.0,21.14,1018,83,5,140,0.0,90
0.0,0.0,21.0,1018,88,4,140,0.3,90
0.0,0.0,20.43,1018,88,2,170,0.3,20
0.0,0.0,20.14,1017,88,3,150,0.3,75
0.0,0.0,20.14,1017,88,3,150,0.3,75
0.5,44.43,19.71,1017,100,4,165,0.3,90
0.5,44.43,19.71,1017,100,4,165,0.3,90
1.21,117.72,19.57,1016,100,2,120,0.9,90
1.21,117.72,19.57,1016,100,2,120,0.9,90
2.83,328.61,18.99,1017,94,4,165,0.3,90
2.83,328.61,18.99,1017,94,4,165,0.3,90
7.79,923.03,19.0,1017,94,1,170,0.0,90
5.01,690.82,19.0,1017,100,2,180,0.3,90
3.25,338.93,19.25,1017,94,3,190,0.3,1
1.59,187.44,19.76,1017,94,4,190,0.0,40
5.2,635.14,20.75,1018,100,3,240,0.0,75
1.39,144.84,22.36,1018,83,5,210,0.0,40
1.45,160.49,24.12,1017,78,6,200,0.0,75
0.0,1.73,26.14,1017,69,7,250,0.0,90
0.0,0.0,27.42,1015,58,5,240,0.0,1
0.0,0.0,26.87,1015,58,6,250,0.0,20
0.0,0.0,26.62,1016,57,7,300,0.0,75
0.0,0.0,25.38,1017,61,7,310,0.0,75
0.0,0.0,21.56,1018,78,3,300,0.0,1
0.0,0.0,20.62,1018,83,4,290,0.0,1
0.0,0.0,19.25,1019,77,3,290,0.0,1
0.0,0.0,18.14,1019,82,1,230,0.0,1
0.0,0.0,16.99,1019,72,1,270,0.0,1
0.0,0.0,15.57,1019,82,1,280,0.0,1
0.0,0.0,14.69,1020,67,3,310,0.0,1
0.71,134.68,13.43,1020,71,3,290,0.0,1
3.1,369.81,12.7,1020,62,1,330,0.0,1
6.53,587.44,11.99,1021,66,2,320,0.0,1
8.05,736.01,11.7,1021,62,3,340,0.0,1
8.75,829.07,11.14,1021,66,3,10,0.0,1
8.78,848.05,10.63,1022,66,3,10,0.0,1
8.07,784.51,11.12,1022,58,2,10,0.0,1
6.76,654.42,12.88,1023,50,4,10,0.0,1
4.53,462.87,14.72,1023,47,3,40,0.0,1
1.1,203.25,16.67,1023,45,2,20,0.0,1
0.0,0.0,18.28,1023,39,3,60,0.0,1
0.0,0.0,19.98,1021,35,1,40,0.0,1
0.0,0.0,20.99,1021,30,2,20,0.0,1
0.0,0.0,20.99,1021,30,1,310,0.0,1
0.0,0.0,20.84,1021,28,2,330,0.0,1
0.0,0.0,16.84,1023,39,3,320,0.0,1
0.0,0.0,14.99,1025,76,3,10,0.0,40
0.0,0.0,14.49,1025,59,2,50,0.0,40
0.0,0.0,13.71,1025,71,2,40,0.0,1
0.0,0.0,13.0,1026,62,3,10,0.0,1
0.0,0.0,12.85,1026,50,5,360,0.0,1
0.0,0.0,12.43,1025,54,5,10,0.0,1
1.0,100.24,12.57,1025,47,5,10,0.0,1
1.59,159.03,12.57,1025,43,4,20,0.0,1
3.44,329.9,11.5,1026,46,6,10,0.0,1
6.54,564.91,11.33,1026,46,4,360,0.0,1
6.06,664.76,11.58,1026,46,4,10,0.0,1
6.3,571.77,11.3,1027,53,5,10,0.0,1
6.08,517.17,12.4,1028,54,4,10,0.0,1
2.66,231.77,13.52,1028,54,5,10,0.0,1
3.48,533.25,13.86,1029,54,6,10,0.0,1
1.1,118.4,16.16,1029,55,5,20,0.0,1
0.0,0.34,17.51,1029,55,7,20,0.0,1
0.0,0.0,20.29,1028,56,7,40,0.0,1
0.0,0.0,19.51,1028,59,9,20,0.0,75
0.0,0.0,18.13,1029,59,5,40,0.0,75
0.0,0.0,18.13,1029,59,5,40,0.0,75
0.0,0.0,16.13,1030,63,5,30,0.0,1
0.0,0.0,15.15,1030,71,5,10,0.0,75
0.0,0.0,13.58,1031,71,5,20,0.0,40
0.0,0.0,12.5,1031,76,3,360,0.0,40
0.0,0.0,11.99,1031,81,3,20,0.0,1
0.0,0.0,11.66,1030,81,3,20,0.0,1
0.0,0.0,11.49,1030,81,2,20,0.0,1
0.43,49.75,12.15,1030,76,3,20,0.0,20
3.78,301.24,12.3,1029,82,3,30,0.0,75
4.7,295.14,12.15,1029,76,3,30,0.0,40
5.07,363.15,11.98,1029,76,2,60,0.0,40
5.09,450.83,11.97,1030,82,2,40,0.0,75
2.64,394.66,12.7,1030,76,2,30,0.0,40
4.26,354.48,13.14,1030,82,2,50,0.0,40
1.86,176.34,16.71,1030,72,3,60,0.0,75
0.48,157.23,20.25,1031,56,5,70,0.0,1
0.57,83.85,21.74,1030,49,10,90,0.0,90
0.0,0.0,22.5,1031,53,10,90,0.3,40
0.0,0.0,22.5,1031,53,10,90,0.3,40
0.0,0.0,22.75,1029,53,9,80,0.0,90
0.0,0.0,22.25,1029,46,8,80,0.0,75
0.0,0.0,21.5,1029,53,8,90,0.3,90
0.0,0.0,21.15,1029,60,7,80,0.0,90
0.0,0.0,18.29,1030,72,4,70,0.0,1
0.0,0.0,17.86,1030,72,3,50,0.0,40
0.0,0.0,17.58,1030,77,3,60,0.0,1
0.0,0.0,17.3,1030,82,3,80,0.0,1
0.0,0.0,17.43,1029,82,5,110,0.0,75
0.0,0.0,17.0,1029,77,3,80,0.0,40
0.0,0.0,17.29,1028,82,3,100,0.0,75
0.73,72.78,17.43,1028,82,2,70,0.0,75
1.57,169.72,17.0,1027,82,3,90,0.0,1
6.77,542.07,17.0,1027,77,3,90,0.0,1
7.0,735.41,16.84,1027,77,3,70,0.0,1
6.08,568.86,16.85,1027,77,1,60,0.0,75
8.41,822.82,17.14,1028,77,2,60,0.0,1
3.21,299.34,16.88,1028,82,1,60,0.0,20
2.93,277.95,18.99,1028,72,2,80,0.0,40
2.09,209.42,21.62,1029,60,5,90,0.0,1
0.73,70.13,23.0,1028,53,8,120,0.3,75
0.0,0.0,23.56,1027,47,8,120,0.0,40
0.0,0.0,24.0,1025,47,7,120,0.0,20
0.0,0.0,23.29,1025,53,6,110,0.0,90
0.0,0.0,23.28,1024,53,7,110,0.0,75
0.0,0.0,22.57,1024,56,6,100,0.0,75
0.0,0.0,21.0,1025,68,4,100,0.0,75
0.0,0.0,20.3,1025,73,4,110,0.0,75
0.0,0.0,20.02,1025,77,4,100,0.3,90
0.0,0.0,18.67,1024,88,4,90,0.0,1
0.0,0.0,18.58,1024,82,3,100,0.0,1
0.0,0.0,17.72,1024,88,2,100,0.0,1
0.0,0.0,17.16,1024,93,3,100,0.0,1
1.13,111.43,17.16,1023,93,2,60,0.0,1
1.63,159.87,17.17,1023,93,2,80,0.0,40
2.86,289.42,17.71,1022,93,2,70,0.0,90
4.8,453.24,17.66,1022,93,2,70,0.0,90
6.77,682.18,17.17,1023,93,2,90,0.0,40
5.05,774.71,18.01,1023,93,2,80,0.0,75
0.41,91.47,17.66,1023,93,3,90,0.0,40
0.87,105.58,20.25,1022,83,4,130,0.0,1
0.74,122.39,22.42,1022,69,7,140,0.0,40
0.09,17.55,24.15,1022,69,5,150,0.0,90
0.0,0.0,25.42,1020,65,5,140,0.0,90
0.0,0.0,25.83,1018,61,7,130,0.0,90
0.0,0.0,23.91,1017,94,3,120,0.3,75
0.0,0.0,23.01,1017,88,3,130,0.3,90
0.0,0.0,22.64,1017,78,5,140,0.3,90
0.0,0.0,22.64,1017,78,5,140,0.3,90
0.0,0.0,21.63,1018,88,5,130,3.0,75
0.0,0.0,21.63,1018,88,5,130,3.0,75
0.0,0.0,21.15,1018,100,2,60,3.0,90
0.0,0.0,21.15,1018,100,2,60,3.0,90
0.0,0.0,20.76,1017,94,3,110,0.9,90
0.0,0.0,20.76,1017,94,3,110,0.9,90
0.0,0.0,20.43,1018,94,3,140,0.9,90
0.0,0.0,20.43,1018,94,3,140,0.9,90
0.0,0.0,20.42,1016,94,6,140,0.3,90
0.0,0.0,20.42,1016,94,6,140,0.3,90
0.0,0.0,20.3,1016,94,4,160,0.3,90
0.0,0.0,20.28,1014,94,6,170,0.0,90
0.03,9.96,20.57,1014,100,5,170,0.0,90
1.47,108.13,20.58,1013,94,5,190,3.0,90
1.47,108.13,20.58,1013,94,5,190,3.0,90
1.2,114.1,20.71,1013,94,5,190,3.0,90
1.2,114.1,20.71,1013,94,5,190,3.0,90
2.34,195.74,21.0,1012,100,8,190,3.0,90
2.34,195.74,21.0,1012,100,8,190,3.0,90
7.3,517.12,21.0,1013,94,5,230,0.9,90
7.3,517.12,21.0,1013,94,5,230,0.9,90
3.53,307.09,20.5,1014,100,4,270,3.0,90
3.53,307.09,20.5,1014,100,4,270,3.0,90
2.67,251.37,20.39,1015,94,2,330,0.9,90
2.67,251.37,20.39,1015,94,2,330,0.9,90
1.89,340.21,20.14,1015,94,3,330,0.9,75
1.43,153.05,21.38,1015,88,4,300,0.0,75
0.56,48.33,21.87,1015,73,4,300,0.0,75
0.0,0.0,22.52,1015,83,4,300,0.0,75
0.0,0.0,22.32,1014,73,5,320,0.0,90
